A,B,LANES,HERE_MISS,FCLASS
38152,38151,1,1,32
38151,38152,1,1,32
750237,38277,1,1,32
38277,750237,1,1,32
38227,38228,1,1,32
38228,38227,1,1,32
1719458,427194,1,1,32
427194,1719458,1,1,32
557124,556871,1,1,32
556871,557124,1,1,32
672552,672551,1,1,32
672551,672552,1,1,32
22963,128384,1,1,32
128384,22963,1,1,32
124507,124508,1,1,32
124508,124507,1,1,32
429080,145908,1,1,32
145908,429080,1,1,32
137168,137169,1,1,32
137169,137168,1,1,32
109746,550375,1,1,32
550375,109746,1,1,32
71525,71523,1,1,32
71523,71525,1,1,32
90788,90787,1,1,32
90787,90788,1,1,32
83243,83241,1,1,32
83241,83243,1,1,32
764795,764796,1,1,32
764796,764795,1,1,32
1537106,1537107,1,1,32
1537107,1537106,1,1,32
174944,174945,1,1,32
174945,174944,1,1,32
